animation,animcmd
adventure_run,game_adventurerun
air_catch,game_aircatch
air_catch_hang,game_aircatchhang
air_catch_hit,game_aircatchhit
air_catch_hit_loop,game_aircatchhitloop
air_catch_l,game_aircatch
air_catch_landing,game_aircatchlanding
air_catch_landing_l,game_aircatchlanding
air_catch_pose,game_aircatchpose
appeal_end,game_appealend
appeal_hi_l,game_appealhil
appeal_hi_r,game_appealhir
appeal_lw_l,game_appeallwl
appeal_lw_r,game_appeallwr
appeal_s_end,game_appealsend
appeal_s_l,game_appealsl
appeal_s_r,game_appealsr
appeal_s_receive,game_appealsreceive
appeal_s_start,game_appealsstart
appeal_s_transmit,game_appealstransmit
appeal_wait,game_appealwait
attach_wall,game_attachwall
attack_100,game_attack100
attack_100_end,game_attack100end
attack_100_start,game_attack100start
attack_11,game_attack11
attack_11_end,game_attack11end
attack_11_near_s,game_attack11nears
attack_11_s,game_attack11s
attack_11_w,game_attack11w
attack_12,game_attack12
attack_12_end,game_attack12end
attack_13,game_attack13
attack_13_hit,game_attack13hit
attack_air_b,game_attackairb
attack_air_b_hi,game_attackairbhi
attack_air_b_lw,game_attackairblw
attack_air_f,game_attackairf
attack_air_f_hi,game_attackairfhi
attack_air_f_lw,game_attackairflw
attack_air_f2,game_attackairf2
attack_air_f3,game_attackairf3
attack_air_hi,game_attackairhi
attack_air_hi_hold,game_attackairhihold
attack_air_hold,game_attackairhold
attack_air_hold_end,game_attackairholdend
attack_air_hold_start,game_attackairholdstart
attack_air_hold_start_s3,game_attackairholdstarts3
attack_air_lw,game_attackairlw
attack_air_n,game_attackairn
attack_air_n_end,game_attackairnend
attack_air_n_hold,game_attackairnhold
attack_air_n_start,game_attackairnstart
attack_both_end,game_attackbothend
attack_both_end_b,game_attackbothendb
attack_both_end_l,game_attackbothendl
attack_both_end_r,game_attackbothendr
attack_command1,game_attackcommand1
attack_command2,game_attackcommand2
attack_command3,game_attackcommand3
attack_dash,game_attackdash
attack_dash_hit,game_attackdashhit
attack_hi3,game_attackhi3
attack_hi3_l,game_attackhi3
attack_hi3_s,game_attackhi3s
attack_hi3_w,game_attackhi3w
attack_hi4,game_attackhi4
attack_hi4_2,game_attackhi42
attack_hi4_hit,game_attackhi4hit
attack_hi4_hold,game_attackhi4charge
attack_hi4_hold_l,game_attackhi4chargel
attack_hi4_hold_r,game_attackhi4charger
attack_hi4_l,game_attackhi4l
attack_hi4_r,game_attackhi4r
attack_hold,game_attackhold
attack_hold_end,game_attackholdend
attack_hold_l,game_attacks4chargel
attack_hold_lb,game_attacks4chargelb
attack_hold_r,game_attacks4charger
attack_hold_rb,game_attacks4chargerb
attack_hold_start,game_attackholdstart
attack_hold_start_s3,game_attackholdstarts3
attack_legs_both_end,game_
attack_legs_both_end_b,game_
attack_legs_both_end_l,game_
attack_legs_both_end_r,game_
attack_legs_fall,game_attacklegsfall
attack_legs_fall_aerial,game_attacklegsfallaerial
attack_legs_hold_l,game_attacklegss4chargel
attack_legs_hold_lb,game_attacklegss4chargelb
attack_legs_hold_r,game_attacklegss4charger
attack_legs_hold_rb,game_attacklegss4chargerb
attack_legs_jump_aerial_b,game_attacklegsjumpaerialb
attack_legs_jump_aerial_f,game_attacklegsjumpaerialf
attack_legs_jump_b,game_attacklegsjumpb
attack_legs_jump_b_mini,game_attacklegsjumpbackmini
attack_legs_jump_f,game_attacklegsjumpf
attack_legs_jump_f_mini,game_attacklegsjumpfrontmini
attack_legs_jump_squat,game_attacklegsjumpsquat
attack_legs_landing_heavy,game_attacklegslandingheavy
attack_legs_landing_light,game_attacklegslandinglight
attack_legs_long_end_l,game_
attack_legs_long_end_lb,game_
attack_legs_long_end_lb3,game_
attack_legs_long_end_r,game_
attack_legs_long_end_rb,game_
attack_legs_long_end_rb3,game_
attack_legs_long_l,game_
attack_legs_long_l2,game_
attack_legs_long_l3,game_
attack_legs_long_lb,game_
attack_legs_long_lb2,game_
attack_legs_long_lb3,game_
attack_legs_long_pull_l2,game_
attack_legs_long_pull_l3,game_
attack_legs_long_pull_lb2,game_
attack_legs_long_pull_lb3,game_
attack_legs_long_pull_r2,game_
attack_legs_long_pull_r3,game_
attack_legs_long_pull_rb2,game_
attack_legs_long_pull_rb3,game_
attack_legs_long_r,game_
attack_legs_long_r2,game_
attack_legs_long_r3,game_
attack_legs_long_rb,game_
attack_legs_long_rb2,game_
attack_legs_long_rb3,game_
attack_legs_long_start_l,game_
attack_legs_long_start_l2,game_
attack_legs_long_start_l3,game_
attack_legs_long_start_lb,game_
attack_legs_long_start_lb2,game_
attack_legs_long_start_lb3,game_
attack_legs_long_start_r,game_
attack_legs_long_start_r2,game_
attack_legs_long_start_r3,game_
attack_legs_long_start_rb,game_
attack_legs_long_start_rb2,game_
attack_legs_long_start_rb3,game_
attack_legs_short_end_l,game_
attack_legs_short_end_lb,game_
attack_legs_short_end_lb3,game_
attack_legs_short_end_r,game_
attack_legs_short_end_rb,game_
attack_legs_short_end_rb3,game_
attack_legs_short_l,game_
attack_legs_short_l2,game_
attack_legs_short_l3,game_
attack_legs_short_lb,game_
attack_legs_short_lb2,game_
attack_legs_short_lb3,game_
attack_legs_short_pull_l2,game_
attack_legs_short_pull_l3,game_
attack_legs_short_pull_lb2,game_
attack_legs_short_pull_lb3,game_
attack_legs_short_pull_r2,game_
attack_legs_short_pull_r3,game_
attack_legs_short_pull_rb2,game_
attack_legs_short_pull_rb3,game_
attack_legs_short_r,game_
attack_legs_short_r2,game_
attack_legs_short_r3,game_
attack_legs_short_rb,game_
attack_legs_short_rb2,game_
attack_legs_short_rb3,game_
attack_legs_short_start_l,game_
attack_legs_short_start_l2,game_
attack_legs_short_start_l3,game_
attack_legs_short_start_lb,game_
attack_legs_short_start_lb2,game_
attack_legs_short_start_lb3,game_
attack_legs_short_start_r,game_
attack_legs_short_start_r2,game_
attack_legs_short_start_r3,game_
attack_legs_short_start_rb,game_
attack_legs_short_start_rb2,game_
attack_legs_short_start_rb3,game_
attack_legs_squat,game_attacklegssquat
attack_legs_squat_rv,game_attacklegssquatrv
attack_legs_squat_wait,game_attacklegssquatwait
attack_legs_twist_fall,game_attacklegstwfall
attack_legs_twist_fall_aerial,game_attacklegstwfallaerial
attack_legs_twist_jump_aerial_b,game_attacklegstwjumpaerialb
attack_legs_twist_jump_aerial_f,game_attacklegstwjumpaerialf
attack_legs_twist_jump_b,game_attacklegstwjumpb
attack_legs_twist_jump_b_mini,game_attacklegstwjumpbackmini
attack_legs_twist_jump_f,game_attacklegstwjumpf
attack_legs_twist_jump_f_mini,game_attacklegstwjumpfrontmini
attack_legs_twist_jump_squat,game_attacklegstwjumpsquat
attack_legs_twist_landing_heavy,game_attacklegstwlandingheavy
attack_legs_twist_landing_light,game_attacklegstwlandinglight
attack_legs_twist_squat,game_attacklegstwsquat
attack_legs_twist_squat_rv,game_attacklegstwsquatrv
attack_legs_twist_squat_wait,game_attacklegstwsquatwait
attack_legs_twist_wait,game_attacklegstwwait
attack_legs_twist_walk_brake_l,game_attacklegstwwalkbrakel
attack_legs_twist_walk_brake_l_b,game_attacklegstwwalkbrakelb
attack_legs_twist_walk_brake_r,game_attacklegstwwalkbraker
attack_legs_twist_walk_brake_r_b,game_attacklegstwwalkbrakerb
attack_legs_twist_walk_fast,game_attacklegstwwalkfast
attack_legs_twist_walk_fast_b,game_attacklegstwwalkfastb
attack_legs_twist_walk_middle,game_attacklegstwwalkmiddle
attack_legs_twist_walk_middle_b,game_attacklegstwwalkmiddleb
attack_legs_twist_walk_slow,game_attacklegstwwalkslow
attack_legs_twist_walk_slow_b,game_attacklegstwwalkslowb
attack_legs_wait,game_attacklegswait
attack_legs_walk_brake_l,game_attacklegswalkbrakel
attack_legs_walk_brake_l_b,game_attacklegswalkbrakelb
attack_legs_walk_brake_lb,game_attacklegswalkbrakelb
attack_legs_walk_brake_r,game_attacklegswalkbraker
attack_legs_walk_brake_r_b,game_attacklegswalkbrakerb
attack_legs_walk_brake_rb,game_attacklegswalkbrakerb
attack_legs_walk_fast,game_attacklegswalkfast
attack_legs_walk_fast_b,game_attacklegswalkfastb
attack_legs_walk_middle,game_attacklegswalkmiddle
attack_legs_walk_middle_b,game_attacklegswalkmiddleb
attack_legs_walk_slow,game_attacklegswalkslow
attack_legs_walk_slow_b,game_attacklegswalkslowb
attack_long_end_l,game_attacklongendl1
attack_long_end_lb,game_attacklongendlb1
attack_long_end_lb3,game_attacklongendlb3
attack_long_end_r,game_attacklongendr1
attack_long_end_rb,game_attacklongendrb1
attack_long_end_rb3,game_attacklongendrb3
attack_long_l,game_attacklongl1
attack_long_l2,game_attacklongl2
attack_long_l3,game_attacklongl3
attack_long_lb,game_attacklonglb1
attack_long_lb2,game_attacklonglb2
attack_long_lb3,game_attacklonglb3
attack_long_pull_l2,game_attacklongpulll2
attack_long_pull_l3,game_attacklongpulll3
attack_long_pull_lb2,game_attacklongpulllb2
attack_long_pull_lb3,game_attacklongpulllb3
attack_long_pull_r2,game_attacklongpullr2
attack_long_pull_r3,game_attacklongpullr3
attack_long_pull_rb2,game_attacklongpullrb2
attack_long_pull_rb3,game_attacklongpullrb3
attack_long_r,game_attacklongr1
attack_long_r2,game_attacklongr2
attack_long_r3,game_attacklongr3
attack_long_rb,game_attacklongrb1
attack_long_rb2,game_attacklongrb2
attack_long_rb3,game_attacklongrb3
attack_long_start_l,game_attacklongstartl1
attack_long_start_l2,game_attacklongstartl2
attack_long_start_l3,game_attacklongstartl3
attack_long_start_lb,game_attacklongstartlb1
attack_long_start_lb2,game_attacklongstartlb2
attack_long_start_lb3,game_attacklongstartlb3
attack_long_start_r,game_attacklongstartr1
attack_long_start_r2,game_attacklongstartr2
attack_long_start_r3,game_attacklongstartr3
attack_long_start_rb,game_attacklongstartrb1
attack_long_start_rb2,game_attacklongstartrb2
attack_long_start_rb3,game_attacklongstartrb3
attack_lw3,game_attacklw3
attack_lw3_s,game_attacklw3s
attack_lw3_w,game_attacklw3w
attack_lw32,game_attacklw32
attack_lw32_landing,game_attacklw32landing
attack_lw4,game_attacklw4
attack_lw4_hit,game_attacklw4hit
attack_lw4_hold,game_attacklw4charge
attack_near_w,game_attacknearw
attack_s3,game_attacks3
attack_s3_end,game_attacks3end
attack_s3_fast,game_attacks3fast
attack_s3_hi,game_attacks3hi
attack_s3_hi,game_attacks3
attack_s3_lw,game_attacks3lw
attack_s3_lw,game_attacks3
attack_s3_middle,game_attacks3middle
attack_s3_s,game_attacks3
attack_s3_s_s,game_attacks3s
attack_s3_s_w,game_attacks3w
attack_s3_s2,game_attacks32
attack_s3_s2,game_attacks3s2
attack_s3_s3,game_attacks33
attack_s3_s3,game_attacks3s3
attack_s3_slow,game_attacks3slow
attack_s3_start,game_attacks3start
attack_s4_hi,game_attacks4hi
attack_s4_hold,game_attacks4charge
attack_s4_lw,game_attacks4lw
attack_s4_s,game_attacks4
attack_s4_s_hit,game_attacks4shit
attack_s4_s2,game_attacks4s2
attack_short_end_l,game_attackshortendl1
attack_short_end_lb,game_attackshortendlb1
attack_short_end_lb3,game_attackshortendlb3
attack_short_end_r,game_attackshortendr1
attack_short_end_rb,game_attackshortendrb1
attack_short_end_rb3,game_attackshortendrb3
attack_short_l,game_attackshortl1
attack_short_l2,game_attackshortl2
attack_short_l3,game_attackshortl3
attack_short_lb,game_attackshortlb1
attack_short_lb2,game_attackshortlb2
attack_short_lb3,game_attackshortlb3
attack_short_pull_l2,game_attackshortpulll2
attack_short_pull_l3,game_attackshortpulll3
attack_short_pull_lb2,game_attackshortpulllb2
attack_short_pull_lb3,game_attackshortpulllb3
attack_short_pull_r2,game_attackshortpullr2
attack_short_pull_r3,game_attackshortpullr3
attack_short_pull_rb2,game_attackshortpullrb2
attack_short_pull_rb3,game_attackshortpullrb3
attack_short_r,game_attackshortr1
attack_short_r2,game_attackshortr2
attack_short_r3,game_attackshortr3
attack_short_rb,game_attackshortrb1
attack_short_rb2,game_attackshortrb2
attack_short_rb3,game_attackshortrb3
attack_short_start_l,game_attackshortstartl1
attack_short_start_l2,game_attackshortstartl2
attack_short_start_l3,game_attackshortstartl3
attack_short_start_lb,game_attackshortstartlb1
attack_short_start_lb2,game_attackshortstartlb2
attack_short_start_lb3,game_attackshortstartlb3
attack_short_start_r,game_attackshortstartr1
attack_short_start_r2,game_attackshortstartr2
attack_short_start_r3,game_attackshortstartr3
attack_short_start_rb,game_attackshortstartrb1
attack_short_start_rb2,game_attackshortstartrb2
attack_short_start_rb3,game_attackshortstartrb3
attack1,game_attack11
attack1_end,game_attack11end
attack1_start,game_attack11start
attack1_turn,game_attack1turn
barrel_screw,game_barrelscrew
bind,game_bind
bitten_wario,game_bittenwario
bitten_wario_air,game_bittenwarioair
bitten_wario_air_big,game_bittenwarioair
bitten_wario_air_dx,game_bittenwarioair
bitten_wario_air_end,game_bittenwarioairend
bitten_wario_air_end_big,game_bittenwarioairend
bitten_wario_air_end_dx,game_bittenwarioairend
bitten_wario_air_end_girl,game_bittenwarioairend
bitten_wario_air_end_taro,game_bittenwarioairend
bitten_wario_air_girl,game_bittenwarioair
bitten_wario_air_start,game_bittenwarioairstart
bitten_wario_air_start_big,game_bittenwarioairstart
bitten_wario_air_start_dx,game_bittenwarioairstart
bitten_wario_air_start_girl,game_bittenwarioairstart
bitten_wario_air_start_taro,game_bittenwarioairstart
bitten_wario_air_taro,game_bittenwarioair
bitten_wario_big,game_bittenwario
bitten_wario_dx,game_bittenwario
bitten_wario_end,game_bittenwarioend
bitten_wario_end_big,game_bittenwarioend
bitten_wario_end_dx,game_bittenwarioend
bitten_wario_end_girl,game_bittenwarioend
bitten_wario_end_taro,game_bittenwarioend
bitten_wario_girl,game_bittenwario
bitten_wario_start,game_bittenwariostart
bitten_wario_start_big,game_bittenwariostart
bitten_wario_start_dx,game_bittenwariostart
bitten_wario_start_girl,game_bittenwariostart
bitten_wario_start_taro,game_bittenwariostart
bitten_wario_taro,game_bittenwario
book,game_
boss_entry,game_bossentry
boss_entry2,game_bossentry2
camera_hit,game_camerahit
cap_shadow,game_
capture_cut,game_capturecut
capture_damage_hi,game_capturedamagehi
capture_damage_lw,game_capturedamagelw
capture_damage_pacman,game_capturedamagerockman
capture_damage_rockman,game_capturedamagerockman
capture_damage_rockman_dx,game_capturedamagerockman
capture_damage_rockman_girl,game_capturedamagerockman
capture_damage_snake,game_capturedamagesnake
capture_damage_snake_big,game_capturedamagesnake
capture_damage_snake_dx,game_capturedamagesnake
capture_damage_wiifit_hi,game_capturedamagewiifithi
capture_damage_wiifit_hi_dx,game_capturedamagewiifithi
capture_damage_wiifit_hi_girl,game_capturedamagewiifithi
capture_damage_wiifit_lw,game_capturedamagewiifitlw
capture_damage_wiifit_lw_dx,game_capturedamagewiifitlw
capture_damage_wiifit_lw_girl,game_capturedamagewiifitlw
capture_jump,game_capturejump
capture_panic_nana,game_capturepanicnana
capture_pulled_hi,game_capturepulledhi
capture_pulled_lw,game_capturepulledlw
capture_pulled_pacman,game_capturepulledrockman
capture_pulled_rockman,game_capturepulledrockman
capture_pulled_rockman_dx,game_capturepulledrockman
capture_pulled_rockman_girl,game_capturepulledrockman
capture_pulled_snake,game_capturepulledsnake
capture_pulled_snake_big,game_capturepulledsnake
capture_pulled_snake_dx,game_capturepulledsnake
capture_pulled_wiifit_hi,game_capturepulledwiifithi
capture_pulled_wiifit_hi_dx,game_capturepulledwiifithi
capture_pulled_wiifit_hi_girl,game_capturepulledwiifithi
capture_pulled_wiifit_lw,game_capturepulledwiifitlw
capture_pulled_wiifit_lw_dx,game_capturepulledwiifitlw
capture_pulled_wiifit_lw_girl,game_capturepulledwiifitlw
capture_wait_hi,game_capturewaithi
capture_wait_lw,game_capturewaitlw
capture_wait_pacman,game_capturewaitrockman
capture_wait_rockman,game_capturewaitrockman
capture_wait_rockman_dx,game_capturewaitrockman
capture_wait_rockman_girl,game_capturewaitrockman
capture_wait_snake,game_capturewaitsnake
capture_wait_snake_big,game_capturewaitsnake
capture_wait_snake_dx,game_capturewaitsnake
capture_wait_wiifit_hi,game_capturewaitwiifithi
capture_wait_wiifit_hi_dx,game_capturewaitwiifithi
capture_wait_wiifit_hi_girl,game_capturewaitwiifithi
capture_wait_wiifit_lw,game_capturewaitwiifitlw
capture_wait_wiifit_lw_dx,game_capturewaitwiifitlw
capture_wait_wiifit_lw_girl,game_capturewaitwiifitlw
catch,game_catch
catch_air_return,game_catchairreturn
catch_attack,game_catchattack
catch_attack_big,game_catchattackbig
catch_attack_l,game_catchattack
catch_attack_m,game_catchattack
catch_cut,game_catchcut
catch_cut_l,game_catchcut
catch_dash,game_catchdash
catch_dash_end,game_catchdashend
catch_dash_l,game_catchdash
catch_dash_return,game_catchdashreturn
catch_dash_start,game_catchdashstart
catch_end,game_catchend
catch_l,game_catch
catch_pull,game_catchpull
catch_pull_l,game_catchpull
catch_pull2,game_catchpull2
catch_pull2_big,game_catchpull2big
catch_return,game_catchreturn
catch_start,game_catchstart
catch_turn,game_catchturn
catch_turn_end,game_catchturnend
catch_turn_l,game_catchturn
catch_turn_return,game_catchturnreturn
catch_turn_start,game_catchturnstart
catch_wait,game_catchwait
catch_wait_big,game_catchwaitbig
catch_wait_l,game_catchwait
catch_wait_m,game_catchwait
catched_air_end_ganon,game_catchedairendganon
catched_air_end_ganon_dx,game_catchedairendganon
catched_air_end_ganon_girl,game_catchedairendganon
catched_air_fall_ganon,game_catchedairfallganon
catched_air_fall_ganon_dx,game_catchedairfallganon
catched_air_fall_ganon_girl,game_catchedairfallganon
catched_air_ganon,game_catchedairganon
catched_air_ganon_dx,game_catchedairganon
catched_air_ganon_girl,game_catchedairganon
catched_ganon,game_catchedganon
catched_ganon_dx,game_catchedganon
catched_ganon_girl,game_catchedganon
ceil_damage,game_ceildamage
cliff_attack_quick,game_cliffattack
cliff_attack_quick_jr,game_cliffattackjr
cliff_catch,game_cliffcatch
cliff_catch_jr,game_cliffcatchjr
cliff_catch2,game_aircatchhang2
cliff_climb_quick,game_cliffclimb
cliff_climb_quick_jr,game_cliffclimbjr
cliff_escape_quick,game_cliffescape
cliff_escape_quick_jr,game_cliffescapejr
cliff_jump_quick1,game_cliffjump1
